,title,summary,company,today,href
0,"   얼굴 없는 노래방차트 1위 가수 #안녕, 알고보니 '연봉 1억' 받는 대기업 직원   ","  기자] 요즘 10대-20대에게 ’얼굴이 없어도‘ 아주 유명한 가수가 있다. 얼굴 없이 7년간 활동했던 가수 #안녕. '안녕'이라고 읽어야 하나, '샵안녕'이라고 읽어야 하나 모를 정도로 일반인들에게 익숙하지 않은 이름이지만 10대 20대 젊은 층이 애용하는 코노(코인...  ",OSEN, 2023.11.07 ,http://v.daum.net/v/20231107093520126
1,"   이청아 ""'연인' 각화, 만나기 어려운 캐릭터""...출연 비하인드 ('안녕하니')   ","  채널 딩고(dingo)는 지난 22일 오후 8시 딩고 뮤직 공식 유튜브 채널을 통해 힐링 뮤직 토크쇼 '너의 밤은 안녕하니' 2화를 공개했다. '너의 밤은 안녕하니'는 고요한 밤에 듣는 라디오를 연상시키는, 따뜻하고 편안한 분위기 속에 진행되는 뮤직 토크쇼 프로그램...  ",OSEN, 2023.11.23 ,http://v.daum.net/v/20231123113322502
2,   [경남 주말&문화] 당신의 안녕을 염원하며…‘무수히 안녕’   ,"  [KBS 창원] [앵커] 경남 주말엔문화, 경남도립미술관이 올해 마지막 기획전, '무수히 안녕'을 내일(24일) 개막합니다. 모두의 '안녕'을 바라는 오랜 마음과 행위에 숨겨진 다양한 가치를 만나 보시죠. 진정은 기자입니다. [리포트] 불상과 나란히 등을 마주한 천사와...  ",KBS, 2023.11.23 ,http://v.daum.net/v/20231123220237776
3,"   경남도립미술관, 올해 마지막 기획전 '무수히 안녕' 24일 개막   ",  (창원=연합뉴스) 김선경 기자 = 경남도립미술관은 올해 마지막 기획전 '무수히 안녕'을 오는 24일 개막한다고 19일 밝혔다. 이번 기획전은 누군가의 안녕을 바라는 염원에 숨겨진 다양한 가치를 동시대 미술과 전통공예를 통해 조명한다. 기획전에 참여하는 8명의...  ,연합뉴스, 2023.11.19 ,http://v.daum.net/v/20231119092106998
4,"   ‘안녕, 안녕! 안녕?’ 이시·제니박·심으뜸·김수지·김영석 단체전   ","  안녕?’을 주제로 열리고 있는 이번 단체전은 청년 작가들의 작업을 통해 미래의 청년, 과거의 청년, 그리고 현재의 청년에게 안녕을 묻고자 기획됐다. ⓒ올리비아박 갤러리 ⓒ올리비아박 갤러리 전시를 통해 희망을 담고 긍정적인 메세지를 담은 작품들을 마주함...  ",프레시안, 2023.11.13 ,http://v.daum.net/v/20231113123103412
5,   “안녕? 청년밥차 민이라고 해” 개그맨 오지헌 대학교에 떴다[따만사]   ,  오 간사는 2003년 KBS 공채 18기에 합격해 개그맨의 길에 들어선 지 20년이 됐다. 데뷔하자마자 그는 KBS2 개그콘서트를 통해 “안녕~! 난 민이라고 해”라는 유행어를 만들어 내기도 했다. 그는 “다른 개그맨들보다 쉽게 개그맨이 됐고 쉽게 성공을 해버렸다. 물론...  ,동아일보, 2023.11.24 탐사뉴스 ,http://v.daum.net/v/20231124140009057
6,"   '복면가왕' 미다스의 손, 유리아·#안녕·효진·건지 꺾고 '가왕' 방어 [종합]   ","  베스트셀러가 '사계', 잘 찍어가 '하루'를 선곡해 맞대결을 펼쳤다. 결과는 베스트셀러의 승리였고, 잘 찍어 정체는 #안녕이었다. #안녕은 데뷔 이후 최초로 얼굴을 공개했다며 ""반도체 기업에서 엔지니어로 근무 중인 회사원이다. 연차를 내고 녹화에 왔다""라고 말...  ",티브이데일리, 2023.11.26 ,http://v.daum.net/v/20231126211607857
7,"   이청아 ""작품이 사랑받는 것=큰 복"" 솔직 입담(너의 밤은 안녕하니)   ","  채널 딩고(dingo)는 지난 22일 오후 8시 딩고 뮤직 공식 유튜브 채널을 통해 힐링 뮤직 토크쇼 '너의 밤은 안녕하니' 2화를 공개했다. '너의 밤은 안녕하니'는 고요한 밤에 듣는 라디오를 연상시키는, 따뜻하고 편안한 분위기 속에 진행되는 뮤직 토크쇼 프로그램...  ",MBC연예, 2023.11.23 ,http://v.daum.net/v/20231123103107515
8,"   “안녕” 카라 박규리·니콜, 故 구하라 4주기에 전한 마음   ",  그리움을 드러냈다. 박규리는 24일 자신의 인스타그램에 팬들이 구하라를 추억하며 지하철 역에 건 광고판 사진을 게재하며 “안녕”이라는 인사를 전했다. 광고판에는 생전 구하라가 무대에서 퍼포먼스를 하는 모습이 담긴 사진과 함께 ‘당신의 미소는 언제나 우리...  ,OSEN, 2023.11.24 ,http://v.daum.net/v/20231124181402786
9,"   이유미 종영소감 ""'강남순'이어서 즐겁고 행복했다. 안녕""   ","  저에겐 충분합니다. 감독님과 작가님, 모든 순간 함께했던 배우분들과 스태프분들 그리고 많은 사랑을 주신 시청자분들까지 감사하고 사랑합니다. 강남순이어서 즐겁고 행복했습니다. 안녕""이라고 진심 어린 감사 인사를 남겼다. 고재완 기자 star77@sportschosun.com  ",스포츠조선, 2023.11.27 ,http://v.daum.net/v/20231127110146764
